 ID,Date,Parameter/Paramètre,Value/Valeur,Qualifier/Qualificatif,Symbol/Symbole,Approval/Approbation,Grade/Classification,Qualifiers/Qualificatifs
05EA011,2026-06-01T00:00:00Z,46,8.097,,,Provisional/Provisoire,,
05EA011,2026-06-01T00:05:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T00:10:00Z,46,8.099,,,Provisional/Provisoire,,
05EA011,2026-06-01T00:15:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T00:20:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T00:25:00Z,46,8.099,,,Provisional/Provisoire,,
05EA011,2026-06-01T00:30:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T00:35:00Z,46,8.101,,,Provisional/Provisoire,,
05EA011,2026-06-01T00:40:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T00:45:00Z,46,8.101,,,Provisional/Provisoire,,
05EA011,2026-06-01T00:50:00Z,46,8.101,,,Provisional/Provisoire,,
05EA011,2026-06-01T00:55:00Z,46,8.101,,,Provisional/Provisoire,,
05EA011,2026-06-01T01:00:00Z,46,8.101,,,Provisional/Provisoire,,
05EA011,2026-06-01T01:05:00Z,46,8.099,,,Provisional/Provisoire,,
05EA011,2026-06-01T01:10:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T01:15:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T01:20:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T01:25:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T01:30:00Z,46,8.099,,,Provisional/Provisoire,,
05EA011,2026-06-01T01:35:00Z,46,8.099,,,Provisional/Provisoire,,
05EA011,2026-06-01T01:40:00Z,46,8.099,,,Provisional/Provisoire,,
05EA011,2026-06-01T01:45:00Z,46,8.099,,,Provisional/Provisoire,,
05EA011,2026-06-01T01:50:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T01:55:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T02:00:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T02:05:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T02:10:00Z,46,8.097,,,Provisional/Provisoire,,
05EA011,2026-06-01T02:15:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T02:20:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T02:25:00Z,46,8.097,,,Provisional/Provisoire,,
05EA011,2026-06-01T02:30:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T02:35:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T02:40:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T02:45:00Z,46,8.097,,,Provisional/Provisoire,,
05EA011,2026-06-01T02:50:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T02:55:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T03:00:00Z,46,8.098,,,Provisional/Provisoire,,
05EA011,2026-06-01T03:05:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T03:10:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T03:15:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T03:20:00Z,46,8.099,,,Provisional/Provisoire,,
05EA011,2026-06-01T03:25:00Z,46,8.099,,,Provisional/Provisoire,,
05EA011,2026-06-01T03:30:00Z,46,8.099,,,Provisional/Provisoire,,
05EA011,2026-06-01T03:35:00Z,46,8.101,,,Provisional/Provisoire,,
05EA011,2026-06-01T03:40:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T03:45:00Z,46,8.099,,,Provisional/Provisoire,,
05EA011,2026-06-01T03:50:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T03:55:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T04:00:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T04:05:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T04:10:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T04:15:00Z,46,8.101,,,Provisional/Provisoire,,
05EA011,2026-06-01T04:20:00Z,46,8.100,,,Provisional/Provisoire,,
05EA011,2026-06-01T04:25:00Z,46,8.101,,,Provisional/Provisoire,,
05EA011,2026-06-01T04:30:00Z,46,8.101,,,Provisional/Provisoire,,
05EA011,2026-06-01T04:35:00Z,46,8.101,,,Provisional/Provisoire,,
05EA011,2026-06-01T04:40:00Z,46,8.102,,,Provisional/Provisoire,,
05EA011,2026-06-01T04:45:00Z,46,8.103,,,Provisional/Provisoire,,
05EA011,2026-06-01T04:50:00Z,46,8.102,,,Provisional/Provisoire,,
05EA011,2026-06-01T04:55:00Z,46,8.103,,,Provisional/Provisoire,,
05EA011,2026-06-01T05:00:00Z,46,8.104,,,Provisional/Provisoire,,
05EA011,2026-06-01T05:05:00Z,46,8.104,,,Provisional/Provisoire,,
05EA011,2026-06-01T05:10:00Z,46,8.103,,,Provisional/Provisoire,,
05EA011,2026-06-01T05:15:00Z,46,8.103,,,Provisional/Provisoire,,
05EA011,2026-06-01T05:20:00Z,46,8.103,,,Provisional/Provisoire,,
05EA011,2026-06-01T05:25:00Z,46,8.103,,,Provisional/Provisoire,,
05EA011,2026-06-01T05:30:00Z,46,8.104,,,Provisional/Provisoire,,
05EA011,2026-06-01T05:35:00Z,46,8.104,,,Provisional/Provisoire,,
05EA011,2026-06-01T05:40:00Z,46,8.104,,,Provisional/Provisoire,,
05EA011,2026-06-01T05:45:00Z,46,8.105,,,Provisional/Provisoire,,
05EA011,2026-06-01T05:50:00Z,46,8.106,,,Provisional/Provisoire,,
05EA011,2026-06-01T05:55:00Z,46,8.106,,,Provisional/Provisoire,,
05EA011,2026-06-01T06:00:00Z,46,8.106,,,Provisional/Provisoire,,
05EA011,2026-06-01T06:05:00Z,46,8.107,,,Provisional/Provisoire,,
05EA011,2026-06-01T06:10:00Z,46,8.106,,,Provisional/Provisoire,,
05EA011,2026-06-01T06:15:00Z,46,8.107,,,Provisional/Provisoire,,
05EA011,2026-06-01T06:20:00Z,46,8.107,,,Provisional/Provisoire,,
05EA011,2026-06-01T06:25:00Z,46,8.107,,,Provisional/Provisoire,,
05EA011,2026-06-01T06:30:00Z,46,8.107,,,Provisional/Provisoire,,
05EA011,2026-06-01T06:35:00Z,46,8.107,,,Provisional/Provisoire,,
05EA011,2026-06-01T06:40:00Z,46,8.107,,,Provisional/Provisoire,,
05EA011,2026-06-01T06:45:00Z,46,8.106,,,Provisional/Provisoire,,
05EA011,2026-06-01T06:50:00Z,46,8.105,,,Provisional/Provisoire,,
05EA011,2026-06-01T06:55:00Z,46,8.107,,,Provisional/Provisoire,,
05EA011,2026-06-01T07:00:00Z,46,8.108,,,Provisional/Provisoire,,
05EA011,2026-06-01T07:05:00Z,46,8.107,,,Provisional/Provisoire,,
05EA011,2026-06-01T07:10:00Z,46,8.107,,,Provisional/Provisoire,,
05EA011,2026-06-01T07:15:00Z,46,8.109,,,Provisional/Provisoire,,
05EA011,2026-06-01T07:20:00Z,46,8.109,,,Provisional/Provisoire,,
05EA011,2026-06-01T07:25:00Z,46,8.110,,,Provisional/Provisoire,,
05EA011,2026-06-01T07:30:00Z,46,8.109,,,Provisional/Provisoire,,
05EA011,2026-06-01T07:35:00Z,46,8.110,,,Provisional/Provisoire,,
05EA011,2026-06-01T07:40:00Z,46,8.108,,,Provisional/Provisoire,,
05EA011,2026-06-01T07:45:00Z,46,8.109,,,Provisional/Provisoire,,
05EA011,2026-06-01T07:50:00Z,46,8.110,,,Provisional/Provisoire,,
05EA011,2026-06-01T07:55:00Z,46,8.111,,,Provisional/Provisoire,,
05EA011,2026-06-01T08:00:00Z,46,8.111,,,Provisional/Provisoire,,
05EA011,2026-06-01T08:05:00Z,46,8.111,,,Provisional/Provisoire,,
05EA011,2026-06-01T08:10:00Z,46,8.112,,,Provisional/Provisoire,,
05EA011,2026-06-01T08:15:00Z,46,8.113,,,Provisional/Provisoire,,
05EA011,2026-06-01T08:20:00Z,46,8.113,,,Provisional/Provisoire,,
05EA011,2026-06-01T08:25:00Z,46,8.113,,,Provisional/Provisoire,,
05EA011,2026-06-01T08:30:00Z,46,8.113,,,Provisional/Provisoire,,
05EA011,2026-06-01T08:35:00Z,46,8.113,,,Provisional/Provisoire,,
